disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1256,,,,,,,,,,645473,e555ac9f6c81428eda01613f113e9f2a78bac3a3,2023-10-09T02:24:46.659Z,8ae2b8e4-8f33-4be1-827d-8acbfb37cfb6
1321,,,,,,,,,,316618,df6801c6e5b9f881d3a53c2d3a22c4230810b14b,2023-03-18T13:22:12.883Z,0d2fd1ca-29c0-4051-8cfe-f94c5d84e50c
1322,,,,,,,,,,305250,00e53ba279f255d17c73e0672b69cc56f0d98c44,2023-03-18T13:22:12.883Z,eebe0137-979a-4510-a840-219d1a52a00c
1339,,,,,,,,,,896815,2fddd87cac23642be8ba270d84e2bb13c90b58dc,2023-03-18T13:22:12.883Z,9e76bea2-e716-4941-847b-f9bc5f271dbb
1340,,,,,,,,,,311009,298b989ad5d263b01b7d7a983c17a1e3304968f4,2023-03-18T13:22:12.883Z,f125dfb7-2a30-495e-949a-98e7613c4cdd
1341,,,,,,,,,,13056,57f82ef8c8a353f683c9cb30970e35127cb83b8a,2023-03-18T13:22:12.883Z,5169019b-820f-49ff-bd8e-b39f1a40a7d2
1342,,,,,,,,,,1000930,9ad21c6b71c474d559e410575a974b2882e1c26d,2023-03-18T13:22:12.883Z,15c8b080-f629-446d-9924-ba75f45ab04d
5467,,,,,,,,,,0,5ba5da0cfe4cd03942004c04f294bf7492e94587,2023-07-06T23:02:58.335Z,36af7f94-d842-4c4c-bac5-7ab68c57b21b
1346,,,,,,,,,,25581719,de80b569ba429dbe71a53c81c5a075ad13e80223,2023-03-18T13:22:12.883Z,4e321bd0-347b-48ba-970e-9e598d5f9945
5468,,,,,,,,,,0,71c10390f28cbe1cf2bf8fde8c26c5b9c0bb246e,2023-07-06T23:02:58.335Z,076fb178-011d-4c46-997f-6139f3dc96db
1359,,,,,,,,,,273677,5845eedae8cd1037244b821ebfd414e10528e720,2023-03-18T13:22:12.883Z,d4887a6f-6413-42ac-97e5-59435e2fc568
1364,,,,,,,,,,1615134,5780ba3222eee3103dfb3a46ccce8c6b1947ec9b,2023-03-18T13:22:12.883Z,3bc5ff17-62df-4f28-8240-a7912e828f19
1415,,,,,,,,,,573827,0b0d3df2f87cfa2a116bf4f04e9a8dedbed50ffa,2023-03-18T13:22:12.883Z,43fb3b5a-40fd-4b1b-9e38-ed75fd0f5a0b
1421,,,,,,,,,,55096,92e4fee1ffecf19d0b8a08765a185c91d8cf852b,2023-03-18T13:22:12.883Z,c33512d3-1d37-47a0-a51c-bd80b90edcd2
1439,19827,57974742.1,31700420.63,26274321.47,,,,,2023-11-01T00:00:00.000Z,7154189,6e015de6490f92e6c7380dcad85204b421f89cd6,2023-11-01T05:42:35.534Z,4cb89253-2c6e-409b-8017-abcf4c6d5b38
1444,127,579893.02,297240.48,282652.54,,,,,2023-11-01T00:00:00.000Z,140456,86d657828e0578dd6cabfd40b44e7fe0873f70dc,2023-11-01T05:42:35.534Z,c57eada9-790d-46e5-bcc5-7c09d411fd01
1434,,,,,,,,,,1396381,17c32ac18e73f04fd5d2c251b5f29000d1074d2e,2023-03-18T13:22:12.883Z,83e467e6-8d16-4f37-b98a-41048d93ad60
4736,,,,,,,,,,0,b37daaa1077f90e23f52e82a83e4056aa23ccb56,2023-09-05T23:02:23.782Z,ed535e22-03eb-456e-ac2a-7f8d8192d798
1460,6659,14538920.62,3835447.42,10703473.2,,,,,2023-11-01T00:00:00.000Z,423565,1820a787f3c414e0f94f287d3a9a0766dd6851a6,2023-11-01T05:42:35.534Z,4007208b-ce76-408e-bfad-38743206bc13
1469,449,1644357.98,787056.7,857301.28,,,,,2023-11-01T00:00:00.000Z,92411,7f59d8339f605408d6ca9a6da115c0ccbbb7391b,2023-11-01T05:42:35.534Z,77e970d1-86fb-45a1-a4aa-94963dbee4fa
1470,124,740552.45,390852.02,349700.43,,,,,2023-11-01T00:00:00.000Z,0,86031e934538306111148f60cd1e8eaf2676daf1,2023-11-01T05:42:35.534Z,b24cdc68-22fa-4e81-a967-bd9e2196eb41
1478,758,1980992.81,1468511.02,512481.79,,,,,2023-11-01T00:00:00.000Z,32689,c323cb29872973865099f8387e43255e9f889701,2023-11-01T05:42:35.534Z,2fd151b6-d4fd-43f7-99c4-227ac04ccbce
1487,2972,8231038.84,6576154.9,1654883.94,,,,,2023-11-01T00:00:00.000Z,697502,41a35d6b8035d197ca2ffd40374f09bda745b6ff,2023-11-01T05:42:35.534Z,91b20902-f13b-45dd-bfb5-bfe26402bdb5
1497,267,1009837,635579.11,374257.89,,,,,2023-11-01T00:00:00.000Z,0,42cb7fcf41dc90fbe8ba0a6e6c5875f9b05726a9,2023-11-01T05:42:35.534Z,9b0dbec7-e9b4-45e2-abb3-f6288920d16e
5418,,,,,,,,,,55125.47,7c54736788deace8021a7a1c7d207f24b7caa0a1,2023-10-23T18:02:30.880Z,298da297-2651-4825-a85c-c02a822611be
1502,487,1220484.27,970511.05,249973.22,,,,,2023-11-01T00:00:00.000Z,54661,e4a9f181e2d2fe91ee126770a686f3dc23565771,2023-11-01T05:42:35.534Z,baa9be10-5421-475c-8880-1da282a424ef
1512,1584,2728345.06,2479114.65,249230.41,,,,,2023-11-01T00:00:00.000Z,8570,9082104017a8768adb2754a392a933f289efb795,2023-11-01T05:42:35.534Z,b8611be5-8b18-407e-a2ca-6b002f0c1991
1521,4176,5900558.36,3293656.58,2606901.78,,,,,2023-11-01T00:00:00.000Z,0,1d77f6f62a2d6f037b54fba432a1837ddeea49a2,2023-11-01T05:42:35.534Z,30f453a7-ee27-408f-8a3f-523ca73038cc
1524,573,1396915.31,1044648.29,352267.02,,,,,2023-11-01T00:00:00.000Z,16044,431044b8ad0eb458b85959747377cddc351136d9,2023-11-01T05:42:35.534Z,6f570d3c-afeb-4d0a-a081-bad1aac69c0a
1525,694,1558980.89,1279215.12,279765.77,,,,,2023-11-01T00:00:00.000Z,7249,add01ad4e5122581095c8ec631122951abb86913,2023-11-01T05:42:35.534Z,59bac2e3-8add-4ff4-8314-7b830a99befa
1527,35693,41314005.89,26912181.7,14401824.19,,,,,2023-11-01T00:00:00.000Z,1153207,7626f3adbd2af48b2037f7924cc6f90f9c3a6269,2023-11-01T05:42:35.534Z,db2bf0d0-fe2d-473d-b344-b7e970a6df15
1536,507,1465037.44,1360295.78,104741.66,,,,,2023-11-01T00:00:00.000Z,155450,2e5260aa22eb758446af9884c50b96dcd921336d,2023-11-01T05:42:35.534Z,91d0db9c-9431-48a1-9ff7-6af43d8c30c6
1538,6001,9961967.69,7947412.69,2014555,,,,,2023-11-01T00:00:00.000Z,741434,bbbae2efa1a849d93dae9055111d94fbd4bd47b7,2023-11-01T05:42:35.534Z,981fcd6e-94b3-43f3-8f19-746ba22f9340
5449,,,,,,,,,,45000,d9e5c4a8e4c47941cf1aab5ffce62253ecf8e725,2023-10-11T05:03:32.427Z,c0200588-2710-4b63-81db-c81376fffe48
4737,,,,,,,,,,0,ae66a3148cef555339c8ac9493ece2b95c52b330,2023-09-08T18:59:42.838Z,2eaa113f-665a-4a61-8340-625d0f394081
5384,,,,,,,,,,693241.23,2ea8d2742851adca302b33da72635830724a6ad0,2023-04-17T19:04:01.866Z,eba71867-b7f8-4960-b4c8-2ab9d2dd43b8
1555,953,3439214.02,2499993.13,939220.89,,,,,2023-11-01T00:00:00.000Z,154339,51102c0ade67da7c1ec1542f4d81201b3a2e9142,2023-11-01T05:42:35.534Z,6b6059c7-9380-46b4-a420-b281394d1118
1566,4399,7240598.76,5778026.85,1462571.91,,,,,2023-11-01T00:00:00.000Z,213494,2404c0d543f2a01faab1726f9ce44d91dfecfcdf,2023-11-01T05:42:35.534Z,689484f5-2e08-4f33-835c-e0ddec9ddce0
1570,661,2275380.47,1479351.47,796029,,,,,2023-11-01T00:00:00.000Z,165776,e0e1897e568aafcdd3bbf0f614625d9acf5cad13,2023-11-01T05:42:35.534Z,d9244425-2461-4e3d-9988-ac49ffcee2c6
1588,1011,2514186.68,1782783.76,731402.92,,,,,2023-11-01T00:00:00.000Z,125025,433be6f74c9789d99091c2e5788035078d00d7b3,2023-11-01T05:42:35.534Z,ad1d555a-aa7b-4a98-b551-46ec092ec62d
1599,77,474304.46,284815.63,189488.83,,,,,2023-11-01T00:00:00.000Z,17773,a2a7c38c902d1f95b243e5199029eeabd79291ea,2023-11-01T05:42:35.534Z,548d0f48-dd6b-4e51-9b6d-a5aa0b458b07
1617,109,459715.15,229744.12,229971.03,,,,,2023-11-01T00:00:00.000Z,46967,fd292f0916d8081b6fd9ed23a9c65ed1254a5867,2023-11-01T05:42:35.534Z,ddf45a95-b7aa-4bb7-8f19-8cf5757ac0de
1637,53,215839.32,170580.92,45258.4,,,,,2023-11-01T00:00:00.000Z,127894,05b7fa13262d4cf84757c36ce701cbc17268a9f1,2023-11-01T05:42:35.534Z,efdce18f-9eef-4398-acf5-e7fdd0631190
5462,,,,,,,,,,0,a348df1c783858e35716f6a90635f6b74e2a9d67,2023-04-17T23:02:47.828Z,fa27ee3d-d5f9-47c3-9995-6f1923a2745d
5463,,,,,,,,,,0,9d3ff798d2e5b37affedc7e45132d7c1bd984aa2,2023-04-17T23:02:47.828Z,d34ce3a0-6b11-4ad1-b372-9d1feb6b3c37
1651,5790,8830355.16,7477482.29,1352872.87,,,,,2023-11-01T00:00:00.000Z,1685290,deae9be518514e31a74d4a3f7ba28a2979ca75b0,2023-11-01T05:42:35.534Z,37086c78-7c3c-47ab-a8d6-c64732199acb
1662,4211,12105107.36,11102170.39,1002936.97,,,,,2023-11-01T00:00:00.000Z,939730,95a53b37cf8b73bbab6e039daa2e7d9b12328b76,2023-11-01T05:42:35.534Z,b614c479-68b9-4128-85f9-74b4754a081f
5324,,,,,,,,,,1605679.6,ffdb89168960be79388a075cd00f092579ef9010,2023-05-03T20:04:46.928Z,3d85dc59-3153-47c4-9717-e0daa6e76ca9
1680,132,943028.88,798183.02,144845.86,,,,,2023-11-01T00:00:00.000Z,238501,ad3fffb4d703c66b336e4e0cb2d0d88dc6ed9a75,2023-11-01T05:42:35.534Z,fa60bf59-8ca0-425c-8e1e-770ed8dd05e2
1685,268,862378,699848.72,162529.28,,,,,2023-11-01T00:00:00.000Z,0,75d19a3233ad0de8ca78f8a7f7612cea888d264c,2023-11-01T05:42:35.534Z,5275244d-59e0-48d5-98c6-68271524196e
1690,201,916208.97,706944.53,209264.44,,,,,2023-11-01T00:00:00.000Z,0,5cc7b15654b26aebbaecb5c292a02f98d31ad2ac,2023-11-01T05:42:35.534Z,5a54262c-f133-4ad6-87d8-e8e380d026b8
1689,,,,,,,,,,1141292,5d5603ed40afbcd3324cc901c1dd0deda5c7e637,2023-03-18T13:22:12.883Z,ab857d0c-36ab-4d6b-b6bd-85bd4421b4f7
1697,643,4865458.46,4068758.21,796700.25,,,,,2023-11-01T00:00:00.000Z,1638715,886e032d1972950081c17ccf623c2b78cdc50b19,2023-11-01T05:42:35.534Z,08ccc127-4374-40b7-90c8-4243b1751499
4739,,,,,,,,,,0,34580e697e2efae1fe59e26090cc3303e15202dd,2023-09-11T23:02:45.052Z,7a692f8f-c5de-4f69-bacc-020d5e54a512
1722,557,1658875.8,1436946.52,221929.28,,,,,2023-11-01T00:00:00.000Z,159288,cf4d9ca33fb736b1fdf716706d83bf939770ab57,2023-11-01T05:42:35.534Z,9dc53b58-d635-4dcf-8a23-cf0b10c67660
1724,2000,5101498.73,4314722.41,786776.32,,,,,2023-11-01T00:00:00.000Z,243792,9b54164a440f0d8608de1a479db8b97497c47e1c,2023-11-01T05:42:35.534Z,dfd1f4c5-5163-42fe-8266-a00591331e40
1730,767,4461751.16,3627169.48,834581.68,,,,,2023-11-01T00:00:00.000Z,454660,1c7e88ff706b1302404e033a8c07485e351716ae,2023-11-01T05:42:35.534Z,8d17ea9d-ddbf-49f9-834e-f22c2ed67ec9
1732,2999,4922508.64,4122801.46,799707.18,,,,,2023-11-01T00:00:00.000Z,802654,e8994b0ad24848dd62df7fbc8d11bb5231a5b712,2023-11-01T05:42:35.534Z,22bfaceb-4850-49e6-91ec-5108024aae93
5474,,,,,,,,,,0,21f98c5285f37decb92d9dd8016fe8af3d096d5d,2023-08-10T23:03:40.004Z,4a60dbea-1b8a-415f-8d1f-6ed585c3977c
5475,,,,,,,,,,0,b8897f73c5d2c5ce6a01efc401ea3f9f5246c629,2023-08-10T23:03:40.004Z,25f5e18a-41fa-45c6-993e-dc7ea972e19e
5476,,,,,,,,,,0,e3139070f142ebdb73df438bdab28b46d83b305a,2023-08-10T23:03:40.004Z,d741eeed-a9d4-4547-b84c-eae006241d22
5477,,,,,,,,,,0,bbb2dd79cc4e04f2dfeb5471bb6fcd9531257e63,2023-08-10T23:03:40.004Z,e78d9f29-2c96-4695-a14a-34432f95da0e
5478,,,,,,,,,,0,5086b31fd1861d83994eacbd241e33cf56245c23,2023-08-10T23:03:40.004Z,2543a8a4-7c10-40d3-be40-be8bd37db90d
5281,,,,,,,,,,525662.15,61f1df83513d091f0c3e1dde075be0934679df8c,2023-10-12T18:02:36.938Z,a40bff73-281e-4843-bb09-ad1d00887b71
1747,917,4800659.42,3951572.59,849086.83,,,,,2023-11-01T00:00:00.000Z,493658,e7aac8715d42086c7c5f1a958ce62b31acde81f9,2023-11-01T05:42:35.534Z,11c6d2ce-543c-4327-9b67-d842299ad99f
1753,250,1598081.52,1371741.06,226340.46,,,,,2023-11-01T00:00:00.000Z,116373,a2f404a7dc49cd3aef7f53286e115dccd35d1f35,2023-11-01T05:42:35.534Z,5662a43e-ab63-44a4-9039-8e3238644ce8
